State,Year,Quarter,Registered_users,App_opens,Region
Arunachal_Pradesh,2018,1,7649,0,North-Eastern Region
Arunachal_Pradesh,2018,1,278,0,North-Eastern Region
Arunachal_Pradesh,2018,1,270,0,North-Eastern Region
Arunachal_Pradesh,2018,1,66,0,North-Eastern Region
Arunachal_Pradesh,2018,1,2202,0,North-Eastern Region
Arunachal_Pradesh,2018,1,49,0,North-Eastern Region
Arunachal_Pradesh,2018,1,222,0,North-Eastern Region
Arunachal_Pradesh,2018,1,1207,0,North-Eastern Region
Arunachal_Pradesh,2018,1,210,0,North-Eastern Region
Arunachal_Pradesh,2018,1,601,0,North-Eastern Region
Arunachal_Pradesh,2018,1,256,0,North-Eastern Region
Arunachal_Pradesh,2018,1,846,0,North-Eastern Region
Arunachal_Pradesh,2018,1,22,0,North-Eastern Region
Arunachal_Pradesh,2018,1,301,0,North-Eastern Region
Arunachal_Pradesh,2018,1,97,0,North-Eastern Region
Arunachal_Pradesh,2018,1,192,0,North-Eastern Region
Arunachal_Pradesh,2018,1,88,0,North-Eastern Region
Arunachal_Pradesh,2018,1,1208,0,North-Eastern Region
Arunachal_Pradesh,2018,1,39,0,North-Eastern Region
Arunachal_Pradesh,2018,1,1803,0,North-Eastern Region
Arunachal_Pradesh,2018,1,572,0,North-Eastern Region
Arunachal_Pradesh,2018,1,1525,0,North-Eastern Region
Arunachal_Pradesh,2018,1,737,0,North-Eastern Region
Arunachal_Pradesh,2018,2,724,0,North-Eastern Region
Arunachal_Pradesh,2018,2,856,0,North-Eastern Region
Arunachal_Pradesh,2018,2,11418,0,North-Eastern Region
Arunachal_Pradesh,2018,2,410,0,North-Eastern Region
Arunachal_Pradesh,2018,2,494,0,North-Eastern Region
Arunachal_Pradesh,2018,2,112,0,North-Eastern Region
Arunachal_Pradesh,2018,2,3442,0,North-Eastern Region
Arunachal_Pradesh,2018,2,80,0,North-Eastern Region
Arunachal_Pradesh,2018,2,343,0,North-Eastern Region
Arunachal_Pradesh,2018,2,1898,0,North-Eastern Region
Arunachal_Pradesh,2018,2,318,0,North-Eastern Region
Arunachal_Pradesh,2018,2,893,0,North-Eastern Region
Arunachal_Pradesh,2018,2,412,0,North-Eastern Region
Arunachal_Pradesh,2018,2,1224,0,North-Eastern Region
Arunachal_Pradesh,2018,2,37,0,North-Eastern Region
Arunachal_Pradesh,2018,2,481,0,North-Eastern Region
Arunachal_Pradesh,2018,2,153,0,North-Eastern Region
Arunachal_Pradesh,2018,2,293,0,North-Eastern Region
Arunachal_Pradesh,2018,2,144,0,North-Eastern Region
Arunachal_Pradesh,2018,2,2014,0,North-Eastern Region
Arunachal_Pradesh,2018,2,66,0,North-Eastern Region
